"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2161975,"399300.SZ","2018-05-28",3816.2649,3846.5525,3799.3207,3833.2599,3816.4980,71521132.0000,100001639.0000
2161974,"399300.SZ","2018-05-29",3824.1909,3841.7794,3800.6749,3804.0093,3833.2599,81552662.0000,117288580.5000
2161973,"399300.SZ","2018-05-30",3755.1764,3767.8872,3722.0719,3723.3724,3804.0093,87913285.0000,115858975.8000
2161972,"399300.SZ","2018-05-31",3749.2954,3804.7919,3742.5287,3802.3759,3723.3724,92666894.0000,130545422.1000
2161971,"399300.SZ","2018-06-01",3789.6716,3802.5366,3753.8395,3770.5891,3802.3759,77821813.0000,105934865.8000
2161970,"399300.SZ","2018-06-04",3785.1869,3813.4065,3776.6185,3807.5781,3770.5891,76624341.0000,115146468.4000
2161969,"399300.SZ","2018-06-05",3811.2852,3845.5648,3800.9256,3845.3164,3807.5781,78687360.0000,121261467.2000
2161968,"399300.SZ","2018-06-06",3839.6830,3848.3295,3830.8956,3837.3511,3845.3164,73117237.0000,107142041.7000
2161967,"399300.SZ","2018-06-07",3846.9367,3859.8476,3827.6874,3831.0128,3837.3511,80256147.0000,112365710.7000
2161966,"399300.SZ","2018-06-08",3819.4477,3819.4607,3759.2717,3779.6159,3831.0128,83337335.0000,107818798.3000
2161965,"399300.SZ","2018-06-11",3770.2080,3792.5480,3756.5148,3779.9818,3779.6159,68709834.0000,105597924.6000
2161964,"399300.SZ","2018-06-12",3783.1858,3830.4710,3765.2644,3825.9534,3779.9818,73206244.0000,116217139.6000
2161963,"399300.SZ","2018-06-13",3814.6174,3817.4528,3782.0728,3788.3391,3825.9534,66377970.0000,97185498.9000
2161962,"399300.SZ","2018-06-14",3774.6396,3808.1616,3759.2484,3773.3655,3788.3391,68471322.0000,99234014.9000
2161961,"399300.SZ","2018-06-15",3763.0405,3780.3368,3737.4282,3753.4338,3773.3655,85488893.0000,109534900.8000
2161960,"399300.SZ","2018-06-19",3702.6681,3712.8162,3583.0208,3621.1166,3753.4338,160706542.0000,193848797.2000
2161959,"399300.SZ","2018-06-20",3602.5512,3649.3359,3578.1743,3635.4436,3621.1166,86718098.0000,112804812.7000
2161958,"399300.SZ","2018-06-21",3633.5558,3673.5625,3589.4899,3592.9650,3635.4436,93908552.0000,115584149.0000
2161957,"399300.SZ","2018-06-22",3567.8939,3609.0751,3542.4564,3608.9046,3592.9650,75117864.0000,89687282.0000
2161956,"399300.SZ","2018-06-25",3625.7984,3631.0253,3559.0343,3560.4777,3608.9046,79877078.0000,106690345.3000
2161955,"399300.SZ","2018-06-26",3521.5876,3541.7820,3478.2134,3531.1112,3560.4777,84985269.0000,108132167.3000
2161954,"399300.SZ","2018-06-27",3525.1323,3537.6569,3441.7850,3459.2621,3531.1112,81491817.0000,107628896.5000
2161953,"399300.SZ","2018-06-28",3434.9441,3477.0565,3416.9476,3423.5255,3459.2621,75918051.0000,98570527.3000
2161952,"399300.SZ","2018-06-29",3431.9619,3512.3834,3425.2159,3510.9845,3423.5255,77257031.0000,97616367.2000
2161951,"399300.SZ","2018-07-02",3504.4571,3506.8996,3383.5006,3407.9638,3510.9845,84351449.0000,107601540.6000
2161950,"399300.SZ","2018-07-03",3410.4767,3422.0398,3319.2889,3409.2801,3407.9638,95278693.0000,129898019.3000
2161949,"399300.SZ","2018-07-04",3398.7788,3418.3311,3359.0861,3363.7473,3409.2801,75157997.0000,93648559.0000
2161948,"399300.SZ","2018-07-05",3365.5547,3398.4852,3330.7113,3342.4379,3363.7473,81587981.0000,97544619.5000
2161947,"399300.SZ","2018-07-06",3347.0624,3396.2458,3295.7296,3365.1227,3342.4379,86097579.0000,109481942.5000
2161946,"399300.SZ","2018-07-09",3378.9056,3459.3153,3378.9056,3459.1837,3365.1227,76601545.0000,100918863.6000
2161945,"399300.SZ","2018-07-10",3464.9064,3474.1396,3437.2706,3467.5155,3459.1837,69548823.0000,90127445.7000
2161944,"399300.SZ","2018-07-11",3398.9265,3427.5705,3375.1441,3407.5297,3467.5155,72040950.0000,89661507.1000
2161943,"399300.SZ","2018-07-12",3403.3302,3499.0970,3403.3302,3481.0559,3407.5297,96353564.0000,117805514.7000
2161942,"399300.SZ","2018-07-13",3488.4966,3499.7643,3474.9123,3492.6897,3481.0559,72955897.0000,99800184.9000
2161941,"399300.SZ","2018-07-16",3488.9670,3506.2355,3459.7312,3472.0859,3492.6897,68281999.0000,90754288.0000
2161940,"399300.SZ","2018-07-17",3466.4236,3467.1852,3420.9714,3449.3773,3472.0859,61983076.0000,85720563.6000
2161939,"399300.SZ","2018-07-18",3456.6065,3479.2635,3430.1563,3431.3227,3449.3773,66530330.0000,88556873.1000
2161938,"399300.SZ","2018-07-19",3444.8032,3466.5056,3417.9627,3428.3430,3431.3227,68477716.0000,88804907.8000
2161937,"399300.SZ","2018-07-20",3426.4558,3505.9280,3398.9532,3492.8938,3428.3430,101984727.0000,122196953.8000
2161936,"399300.SZ","2018-07-23",3471.8555,3527.5335,3464.6475,3525.7503,3492.8938,119036627.0000,143960930.6000
2161935,"399300.SZ","2018-07-24",3530.6641,3596.5128,3530.6641,3581.7057,3525.7503,156912435.0000,177448954.0000
2161934,"399300.SZ","2018-07-25",3589.5055,3589.9841,3566.3140,3577.7522,3581.7057,96758501.0000,112176694.1000
2161933,"399300.SZ","2018-07-26",3583.3173,3593.9227,3528.6442,3536.2456,3577.7522,90349641.0000,105577285.1000
2161932,"399300.SZ","2018-07-27",3533.7714,3545.4058,3512.7034,3521.2269,3536.2456,70178104.0000,81192174.9000
2161931,"399300.SZ","2018-07-30",3520.8538,3550.9020,3489.5494,3515.0794,3521.2269,82116995.0000,96183097.6000
2161930,"399300.SZ","2018-07-31",3510.4744,3528.1540,3493.1545,3517.6568,3515.0794,67980817.0000,80022152.1000
